date,home,away,hg,ag,hs,as_,hst,ast,hc,ac,hy,ay,hr,ar,odds_h,odds_d,odds_a,o25,u25
2024-11-02,Liverpool,Brighton,2,1,16,13,8,5,10,7,1,1,0,0,1.36,1.38,1.4,1.39,3.06
2024-11-02,Newcastle,Arsenal,1,0,9,10,4,1,4,6,4,4,0,0,4.03,3.99,3.75,1.89,1.95
2024-11-02,Nott'm Forest,West Ham,3,0,19,4,6,2,11,6,1,2,0,1,2.05,2.05,2.15,1.99,1.85
2024-11-02,Southampton,Everton,1,0,9,16,2,5,3,6,4,2,0,0,2.72,2.7,2.63,1.94,1.9
2024-11-02,Wolves,Crystal Palace,2,2,11,19,6,7,3,6,1,2,0,0,2.44,2.43,2.5,1.96,1.89
2024-11-03,Man United,Chelsea,1,1,11,12,4,3,4,8,6,2,0,0,2.72,2.65,2.6,1.48,2.67
2024-11-03,Tottenham,Aston Villa,4,1,16,12,6,1,6,4,2,0,0,0,1.99,1.94,1.91,1.45,2.79
2024-11-04,Fulham,Brentford,2,1,26,5,12,2,11,3,2,1,0,0,2.02,2.02,2,1.71,2.18
2024-11-09,Brentford,Bournemouth,3,2,12,15,6,3,6,4,2,4,0,0,2.64,2.6,2.5,1.64,2.31
2024-11-09,Brighton,Man City,2,1,10,15,4,6,0,4,3,3,0,0,4.1,4.11,4.1,1.47,2.75
2024-11-09,Crystal Palace,Fulham,0,2,13,17,5,7,1,8,1,1,1,0,3.37,3.35,2.7,2.08,1.78
2024-11-09,Liverpool,Aston Villa,2,0,14,12,5,2,2,9,0,3,0,0,1.47,1.48,1.42,1.57,2.45
2024-11-09,West Ham,Everton,0,0,11,18,6,4,7,6,1,2,0,0,2.17,2.16,2.15,1.92,1.93
2024-11-09,Wolves,Southampton,2,0,8,9,4,0,1,9,1,4,0,0,1.95,1.92,1.91,1.71,2.19
2024-11-10,Chelsea,Arsenal,1,1,17,13,3,3,4,3,4,2,0,0,3,3.01,2.7,1.81,2.05
2024-11-10,Man United,Leicester,3,0,13,6,3,5,1,5,0,1,0,0,1.35,1.33,1.38,1.48,2.68
2024-11-10,Nott'm Forest,Newcastle,1,3,9,17,3,6,4,5,1,1,0,0,2.81,2.76,2.7,1.93,1.92
2024-11-10,Tottenham,Ipswich,1,2,17,8,5,3,12,2,1,5,0,0,1.26,1.25,1.25,1.32,3.44
2024-11-23,Arsenal,Nott'm Forest,3,0,19,7,7,0,8,1,3,2,0,0,1.41,1.41,1.38,1.83,2
2024-11-23,Aston Villa,Crystal Palace,2,2,17,13,5,6,10,1,3,2,0,0,1.75,1.73,1.62,1.84,2.01
2024-11-23,Bournemouth,Brighton,1,2,19,6,5,4,7,0,2,2,0,1,2.49,2.46,2.4,1.57,2.45
2024-11-23,Everton,Brentford,0,0,27,9,5,2,10,4,0,0,0,1,2.38,2.36,2.45,1.86,1.99
2024-11-23,Fulham,Wolves,1,4,10,10,3,5,7,2,3,0,0,0,1.57,1.55,1.62,1.61,2.37
2024-11-23,Leicester,Chelsea,1,2,4,16,1,7,2,9,4,3,0,0,7,6.91,6.5,1.56,2.48
2024-11-23,Man City,Tottenham,0,4,23,9,5,7,9,3,4,2,0,0,1.44,1.41,1.48,1.32,3.45
2024-11-24,Ipswich,Man United,1,1,11,11,6,4,4,3,0,0,0,0,5.15,5.06,5.25,1.64,2.3
2024-11-24,Southampton,Liverpool,2,3,7,27,5,11,3,10,3,4,0,0,10,9.12,11,1.4,3.02
2024-11-25,Newcastle,West Ham,0,2,18,15,2,6,8,3,1,0,0,0,1.5,1.47,1.5,1.5,2.64
2024-11-29,Brighton,Southampton,1,1,22,10,5,2,7,6,2,4,0,0,1.38,1.39,1.38,1.38,3.12
2024-11-30,Brentford,Leicester,4,1,13,7,6,3,5,4,1,1,0,0,1.63,1.61,1.65,1.59,2.4
2024-11-30,Crystal Palace,Newcastle,1,1,16,1,4,0,8,9,3,3,0,0,3.3,3.25,2.9,1.86,1.99
2024-11-30,Nott'm Forest,Ipswich,1,0,12,7,5,3,8,7,1,3,0,0,1.74,1.72,1.7,1.77,2.09
2024-11-30,West Ham,Arsenal,2,5,12,16,5,7,2,10,4,1,0,0,7.34,7.37,7,1.66,2.26
2024-11-30,Wolves,Bournemouth,2,4,10,12,3,8,3,4,4,1,0,0,2.75,2.71,2.8,1.75,2.13
2024-12-01,Chelsea,Aston Villa,3,0,17,10,8,4,3,4,2,2,0,0,1.75,1.72,1.7,1.56,2.48
2024-12-01,Liverpool,Man City,2,0,18,8,7,2,7,4,1,3,0,0,2.06,2.04,2.1,1.52,2.57
2024-12-01,Man United,Everton,4,0,11,8,5,2,2,2,2,3,0,0,1.62,1.62,1.53,1.8,2.05
2024-12-01,Tottenham,Fulham,1,1,8,14,3,6,7,11,0,1,0,1,1.98,1.95,1.7,1.42,2.92
2024-12-03,Ipswich,Crystal Palace,0,1,9,13,2,3,4,7,2,4,0,0,3.35,3.27,3,1.99,1.86
2024-12-03,Leicester,West Ham,3,1,8,31,6,10,3,9,2,2,0,0,3.04,2.99,2.9,1.76,2.09
2024-12-04,Arsenal,Man United,2,0,14,5,6,2,13,0,1,3,0,0,1.48,1.45,1.44,1.61,2.37
2024-12-04,Aston Villa,Brentford,3,1,20,9,10,1,10,5,2,2,0,0,1.68,1.69,1.8,1.56,2.48
2024-12-04,Everton,Wolves,4,0,13,6,4,2,3,4,2,0,0,0,2.14,2.11,2.1,2.05,1.81
2024-12-04,Man City,Nott'm Forest,3,0,17,12,7,3,8,2,2,4,0,0,1.31,1.32,1.36,1.47,2.72
2024-12-04,Newcastle,Liverpool,3,3,17,16,6,5,5,6,2,5,0,0,3.68,3.63,4.2,1.63,2.31
2024-12-04,Southampton,Chelsea,1,5,6,26,4,13,5,7,1,0,1,0,9.07,8.74,8.5,1.36,3.19
2024-12-05,Bournemouth,Tottenham,1,0,21,12,8,4,5,9,2,2,0,0,2.21,2.18,2.63,1.45,2.83
2024-12-05,Fulham,Brighton,3,1,6,13,2,3,5,6,2,2,0,0,2.64,2.6,2.35,1.68,2.23
2024-12-07,Aston Villa,Southampton,1,0,18,4,5,0,14,1,1,3,0,0,1.33,1.32,1.36,1.47,2.73
2024-12-07,Brentford,Newcastle,4,2,11,16,8,3,3,4,3,0,0,0,3.02,2.95,2.88,1.59,2.42
2024-12-07,Crystal Palace,Man City,2,2,12,12,3,4,6,8,1,0,0,1,4.69,4.67,5.5,1.64,2.31
2024-12-07,Man United,Nott'm Forest,2,3,17,11,7,3,5,3,0,2,0,0,1.69,1.68,1.65,1.79,2.06
2024-12-08,Fulham,Arsenal,1,1,2,12,2,4,0,6,4,2,0,0,5.5,5.34,5,1.74,2.14
2024-12-08,Ipswich,Bournemouth,1,2,18,22,5,6,6,13,2,1,0,0,3.92,3.81,3.5,1.67,2.25
2024-12-08,Leicester,Brighton,2,2,10,16,3,7,5,5,1,2,0,0,4.98,4.92,4.5,1.56,2.49
2024-12-08,Tottenham,Chelsea,3,4,13,17,5,8,5,10,2,2,0,0,2.93,2.9,3.4,1.34,3.31
2024-12-09,West Ham,Wolves,2,1,19,19,4,5,11,0,5,4,0,0,1.82,1.82,1.9,1.68,2.22
2024-12-14,Arsenal,Everton,0,0,13,2,5,0,8,2,0,3,0,0,1.25,1.23,1.22,1.62,2.32
2024-12-14,Liverpool,Fulham,2,2,16,12,4,3,5,4,3,4,1,0,1.29,1.29,1.33,1.38,3.06
2024-12-14,Newcastle,Leicester,4,0,27,4,11,1,5,2,3,3,0,0,1.29,1.29,1.3,1.37,3.1
2024-12-14,Nott'm Forest,Aston Villa,2,1,17,8,6,2,4,3,0,1,0,0,2.73,2.71,2.63,2.1,1.76
2024-12-14,Wolves,Ipswich,1,2,16,10,6,5,7,3,0,2,1,0,2,1.98,1.9,1.81,2.04
2024-12-15,Brighton,Crystal Palace,1,3,17,13,5,5,8,5,1,4,0,0,1.92,1.9,1.85,1.79,2.06
2024-12-15,Chelsea,Brentford,2,1,26,9,8,4,8,5,0,2,1,0,1.32,1.35,1.33,1.33,3.36
2024-12-15,Man City,Man United,1,2,10,10,3,3,8,2,1,1,0,0,1.53,1.54,1.57,1.45,2.79
2024-12-15,Southampton,Tottenham,0,5,9,18,3,9,2,5,1,3,0,0,4.04,3.98,4.33,1.27,3.8
2024-12-16,Bournemouth,West Ham,1,1,29,16,9,3,12,6,0,2,0,0,1.78,1.74,1.7,1.52,2.58
2024-12-21,Aston Villa,Man City,2,1,11,12,6,6,5,4,3,3,0,0,3.21,3.2,3.25,1.61,2.35
2024-12-21,Brentford,Nott'm Forest,0,2,7,10,3,6,9,5,3,4,0,0,2.53,2.49,2.3,1.59,2.39
2024-12-21,Crystal Palace,Arsenal,1,5,15,14,6,6,3,3,2,2,0,0,7.6,7.14,6.25,1.84,2
2024-12-21,Ipswich,Newcastle,0,4,10,15,2,7,2,1,2,0,0,0,4.6,4.69,4.75,1.6,2.37
2024-12-21,West Ham,Brighton,1,1,11,12,4,6,8,4,2,2,0,0,2.83,2.77,2.88,1.5,2.63
2024-12-22,Everton,Chelsea,0,0,5,12,4,5,2,5,4,1,0,0,5.01,4.84,5,1.61,2.34
2024-12-22,Fulham,Southampton,0,0,16,5,5,1,6,5,1,3,0,0,1.68,1.62,1.42,1.7,2.19
2024-12-22,Leicester,Wolves,0,3,9,8,5,4,6,1,2,0,0,0,3.05,2.92,2.55,1.68,2.21
2024-12-22,Man United,Bournemouth,0,3,23,10,7,5,13,1,1,3,0,0,1.88,1.86,1.8,1.7,2.19
2024-12-22,Tottenham,Liverpool,3,6,9,24,5,12,7,5,1,2,0,0,4.9,4.69,4.5,1.27,3.74
2024-12-26,Bournemouth,Crystal Palace,0,0,18,10,4,4,5,2,2,2,0,0,2.13,2.08,1.9,1.67,2.23
2024-12-26,Chelsea,Fulham,1,2,12,14,8,7,3,1,1,3,0,0,1.46,1.46,1.48,1.49,2.68
2024-12-26,Liverpool,Leicester,3,1,19,4,7,1,14,1,3,2,0,0,1.09,1.08,1.08,1.18,4.82
2024-12-26,Man City,Everton,1,1,24,8,5,3,8,5,1,4,0,0,1.36,1.34,1.33,1.53,2.55
2024-12-26,Newcastle,Aston Villa,3,0,22,4,8,1,9,6,2,1,0,1,1.94,1.94,1.91,1.63,2.32
2024-12-26,Nott'm Forest,Tottenham,1,0,10,13,3,4,2,7,3,2,0,1,2.16,2.16,2.3,1.41,2.96
2024-12-26,Southampton,West Ham,0,1,18,16,5,2,2,2,1,2,0,0,3.12,3.08,3.25,1.71,2.16
2024-12-26,Wolves,Man United,2,0,7,11,4,4,4,4,2,2,0,1,4.44,4.35,3.9,1.72,2.14
2024-12-27,Arsenal,Ipswich,1,0,13,3,5,0,5,1,1,1,0,0,1.13,1.14,1.14,1.38,3.08
2024-12-27,Brighton,Brentford,0,0,24,8,7,3,5,3,0,2,0,0,1.63,1.62,1.62,1.44,2.81
2024-12-29,Crystal Palace,Southampton,2,1,19,7,10,3,8,7,2,3,0,0,1.53,1.53,1.57,1.71,2.16
2024-12-29,Everton,Nott'm Forest,0,2,13,11,2,7,5,4,4,1,0,0,2.71,2.69,2.6,2.35,1.61
2024-12-29,Fulham,Bournemouth,2,2,11,16,6,9,1,7,1,3,0,0,2.27,2.3,2.3,1.81,2.03
2024-12-29,Leicester,Man City,0,2,11,14,4,5,4,4,2,1,0,0,10.25,9.62,7.5,1.34,3.3
2024-12-29,Tottenham,Wolves,2,2,13,11,3,3,5,5,1,2,0,0,1.68,1.66,1.6,1.36,3.18
2024-12-29,West Ham,Liverpool,0,5,7,22,0,13,3,6,0,0,0,0,7.75,7.44,7,1.41,2.94
2024-12-30,Aston Villa,Brighton,2,2,20,13,4,4,12,3,2,3,0,0,1.86,1.89,1.9,1.63,2.29
2024-12-30,Ipswich,Chelsea,2,0,9,20,6,5,4,7,4,4,0,0,7.55,7.45,6.5,1.48,2.68
2024-12-30,Man United,Newcastle,0,2,10,12,0,4,2,3,1,1,0,0,2.71,2.74,2.75,1.66,2.25
2025-01-01,Brentford,Arsenal,1,3,5,14,2,5,4,3,1,2,0,0,6,5.87,6.5,1.65,2.27
2025-01-04,Aston Villa,Leicester,2,1,13,4,5,2,7,2,0,1,0,0,1.34,1.33,1.33,1.42,2.91
2025-01-04,Bournemouth,Everton,1,0,19,9,8,0,9,3,2,2,0,0,1.7,1.69,1.73,1.82,2.02
2025-01-04,Brighton,Arsenal,1,1,11,9,4,3,2,5,2,3,0,0,4.93,4.74,4.33,1.97,1.87
2025-01-04,Crystal Palace,Chelsea,1,1,13,15,6,1,6,6,0,2,0,0,3.64,3.58,3.8,1.52,2.57
2025-01-04,Man City,West Ham,4,1,10,17,7,4,7,1,2,1,0,0,1.26,1.24,1.3,1.3,3.59
2025-01-04,Southampton,Brentford,0,5,8,20,1,11,2,2,2,0,0,0,3.44,3.33,3,1.69,2.19
2025-01-04,Tottenham,Newcastle,1,2,13,14,4,4,9,10,1,4,0,0,3.9,3.81,2.88,1.27,3.82
2025-01-05,Fulham,Ipswich,2,2,15,7,4,3,9,2,1,5,0,0,1.59,1.56,1.55,1.8,2.03
2025-01-05,Liverpool,Man United,2,2,19,13,6,4,6,9,2,4,0,0,1.36,1.36,1.29,1.51,2.6
2025-01-06,Wolves,Nott'm Forest,0,3,13,11,6,3,5,3,1,2,0,0,4.01,3.86,3.3,1.86,1.98
2025-01-14,Brentford,Man City,2,2,18,21,6,8,4,5,0,0,0,0,5.18,5.16,4.75,1.42,2.89
2025-01-14,Chelsea,Bournemouth,2,2,26,7,10,3,9,3,2,3,0,0,1.54,1.52,1.48,1.41,2.95
2025-01-14,Nott'm Forest,Liverpool,1,1,6,23,3,7,0,9,2,1,0,0,5.7,5.37,5.25,1.59,2.41
2025-01-14,West Ham,Fulham,3,2,4,21,3,5,0,3,3,3,0,0,3.22,3.07,3,1.91,1.92
2025-01-15,Arsenal,Tottenham,2,1,14,10,4,2,10,4,3,1,0,0,1.38,1.38,1.4,1.52,2.57
2025-01-15,Everton,Aston Villa,0,1,10,11,3,3,8,5,2,1,0,0,3.55,3.48,3.25,2.26,1.66
2025-01-15,Leicester,Crystal Palace,0,2,21,9,4,4,4,3,0,0,0,0,4.07,3.93,3.9,1.84,2
2025-01-15,Newcastle,Wolves,3,0,17,13,5,7,4,2,0,2,0,0,1.37,1.37,1.36,1.49,2.65
2025-01-16,Ipswich,Brighton,0,2,5,11,3,5,1,9,2,2,0,0,3.94,3.81,3.9,1.77,2.09
2025-01-16,Man United,Southampton,3,1,23,13,9,5,5,4,1,3,0,0,1.29,1.28,1.29,1.56,2.46
2025-01-18,Arsenal,Aston Villa,2,2,18,8,6,4,10,1,2,3,0,0,1.57,1.57,1.5,1.77,2.08
2025-01-18,Brentford,Liverpool,0,2,11,37,6,8,2,15,2,3,0,0,6.33,6.04,6.5,1.33,3.36
2025-01-18,Leicester,Fulham,0,2,8,17,4,2,5,2,3,1,0,0,4.65,4.5,4.33,1.8,2.05
2025-01-18,Newcastle,Bournemouth,1,4,13,19,5,10,7,6,1,6,0,0,1.66,1.64,1.62,1.51,2.61
2025-01-18,West Ham,Crystal Palace,0,2,7,12,0,7,2,4,1,0,1,0,2.86,2.78,2.6,2,1.84
2025-01-19,Everton,Tottenham,3,2,12,11,6,6,3,8,2,1,0,0,2.56,2.57,2.8,1.84,2
2025-01-19,Ipswich,Man City,0,6,8,17,4,9,4,7,0,1,0,0,8.5,7.72,7.5,1.51,2.62
2025-01-19,Man United,Brighton,1,3,10,6,1,3,4,2,3,3,0,0,2.34,2.31,2.1,1.79,2.05
2025-01-19,Nott'm Forest,Southampton,3,2,14,10,5,4,2,8,0,4,0,0,1.37,1.4,1.38,1.69,2.2
2025-01-20,Chelsea,Wolves,3,1,19,9,7,4,3,6,4,2,0,0,1.44,1.43,1.36,1.4,2.97
2025-01-25,Bournemouth,Nott'm Forest,5,0,16,18,10,4,3,9,2,3,0,0,1.97,1.99,2.05,1.8,2.05
2025-01-25,Brighton,Everton,0,1,16,3,1,1,9,1,3,4,0,0,1.74,1.7,1.67,1.98,1.86
2025-01-25,Liverpool,Ipswich,4,1,16,3,6,3,3,4,0,2,0,0,1.1,1.11,1.08,1.27,3.78
2025-01-25,Man City,Chelsea,3,1,15,10,6,4,2,4,3,2,0,0,2.39,2.34,2.05,1.43,2.84
