id,name,season,ip,so,bb,hr,er,gs
615698,Cal Quantrill,2023,99.67,58,35,11,58,19
621016,Jose Cuas,2023,65.33,71,35,8,29,2
621016,Jose Cuas,2023,23.67,19,14,2,8,1
621016,Jose Cuas,2023,41.67,52,21,6,21,1
621057,Justin Garza,2023,18.33,17,12,3,15,1
621076,James Kaprielian,2023,61.0,57,31,9,43,11
621107,Zach Eflin,2023,177.67,186,24,19,69,31
621112,Paul Blackburn,2023,103.67,104,43,11,51,20
621199,Matt Bowman,2023,4.0,3,2,1,4,0
621244,José Berríos,2023,189.67,184,52,25,77,32
621366,Ryan Borucki,2023,40.33,33,4,4,11,2
621381,Matt Strahm,2023,87.67,108,21,11,32,10
621383,Tanner Banks,2023,61.0,51,16,10,30,3
621389,Ty Blach,2023,78.0,50,24,15,48,13
622072,Alex Wood,2023,97.67,74,42,9,47,12
622088,Tejay Antone,2023,5.67,7,2,0,1,1
622251,Josh Staumont,2023,20.0,24,13,1,12,1
622491,Luis Castillo,2023,197.0,219,56,28,73,33
622608,Antonio Senzatela,2023,7.67,4,2,3,4,2
622663,Luis Severino,2023,89.33,79,34,23,66,18
622766,Miguel Díaz,2023,14.0,16,5,0,1,3
622772,Jimmy Cordero,2023,32.67,34,10,2,14,1
623167,Chris Flexen,2023,102.33,74,38,25,78,16
623167,Chris Flexen,2023,60.33,45,19,14,42,12
623167,Chris Flexen,2023,42.0,29,19,11,36,4
623474,Jimmy Herget,2023,29.0,26,8,7,15,1
624133,Ranger Suarez,2023,125.0,119,48,13,58,22
625643,Reynaldo López,2023,66.0,83,34,8,24,0
625643,Reynaldo López,2023,13.0,19,8,1,4,0
625643,Reynaldo López,2023,11.0,12,4,0,0,0
625643,Reynaldo López,2023,42.0,52,22,7,20,0
628317,Kenta Maeda,2023,104.33,117,28,17,49,20
628711,Julio Urías,2023,117.33,117,24,24,60,21
630023,Yonny Chirinos,2023,85.0,53,27,15,51,9
630023,Yonny Chirinos,2023,62.67,31,20,10,28,4
630023,Yonny Chirinos,2023,22.33,22,7,5,23,5
640455,Sean Manaea,2023,117.67,128,42,14,58,10
640462,A.J. Puk,2023,56.67,78,13,10,25,0
641149,Wes Parsons,2023,4.0,3,3,2,9,1
641154,Pablo López,2023,194.0,234,48,24,79,32
641302,Tyler Alexander,2023,44.0,44,5,8,22,1
641401,Connor Brogdon,2023,29.0,26,13,5,13,1
641482,Nestor Cortes,2023,63.33,67,20,11,35,12
641540,Dane Dunning,2023,172.67,140,55,20,71,26
641585,J.P. France,2023,136.33,101,47,19,58,23
641656,Ian Hamilton,2023,58.0,69,26,2,17,3
641672,Thomas Hatch,2023,28.67,26,12,2,13,2
641672,Thomas Hatch,2023,22.33,16,7,2,10,2
641672,Thomas Hatch,2023,6.33,10,5,0,3,0
641703,Brent Honeywell,2023,52.33,45,23,10,28,0
641703,Brent Honeywell,2023,46.67,42,20,8,21,0
641703,Brent Honeywell,2023,5.67,3,3,2,7,0
641712,Dakota Hudson,2023,81.33,45,34,9,45,12
641745,Brad Keller,2023,45.33,31,45,3,23,9
641771,Chad Kuhl,2023,38.33,31,28,8,36,5
641778,Eric Lauer,2023,46.67,43,24,16,34,9
641793,Zack Littell,2023,90.0,74,12,13,41,14
641793,Zack Littell,2023,3.0,2,3,0,3,0
641793,Zack Littell,2023,87.0,72,9,13,38,14
641816,Tyler Mahle,2023,25.67,28,5,5,9,5
641927,Bailey Ober,2023,144.33,146,29,22,55,26
641941,Emilio Pagán,2023,69.33,65,21,5,23,1
642121,Cole Sulser,2023,5.33,4,3,2,4,0
642216,Allan Winans,2023,32.33,34,8,5,19,6
642232,Ryan Yarbrough,2023,89.67,67,14,13,45,9
642232,Ryan Yarbrough,2023,51.0,29,9,5,24,7
642232,Ryan Yarbrough,2023,38.67,38,5,8,21,2
642239,Rob Zastryzny,2023,20.67,15,13,1,11,1
642545,Jaime Barria,2023,82.33,62,30,20,52,6
642547,Freddy Peralta,2023,165.67,210,54,26,71,30
642770,Javy Guerra,2023,19.33,14,22,2,13,2
642770,Javy Guerra,2023,11.0,9,13,1,5,2
642770,Javy Guerra,2023,8.33,5,9,1,8,0
643493,Austin Pruitt,2023,48.33,30,12,5,16,6
645261,Sandy Alcantara,2023,184.67,151,48,22,85,28
646242,Jhonathan Díaz,2023,7.0,4,7,0,8,1
647336,Michael Soroka,2023,32.33,29,12,9,23,6
650633,Michael King,2023,104.67,127,32,10,32,9
650644,Aaron Civale,2023,122.33,116,33,12,47,23
650644,Aaron Civale,2023,77.0,58,22,5,20,13
650644,Aaron Civale,2023,45.33,58,11,7,27,10
650911,Cristopher Sánchez,2023,99.33,96,16,16,38,18
656222,Jalen Beeks,2023,42.33,47,21,4,28,8
656232,Brandon Bielak,2023,80.0,62,36,12,34,13
656234,Jake Bird,2023,89.33,77,27,6,43,3
656271,Brock Burke,2023,59.67,52,9,13,29,0
656288,Griffin Canning,2023,127.0,139,36,22,61,22
656302,Dylan Cease,2023,177.0,214,79,19,90,33
656353,Tucker Davidson,2023,51.33,46,19,6,34,1
656353,Tucker Davidson,2023,31.67,31,11,2,23,0
656353,Tucker Davidson,2023,19.67,15,8,4,11,1
656412,Alex Faedo,2023,64.67,58,20,12,32,12
656427,Jack Flaherty,2023,144.33,148,66,17,80,27
656427,Jack Flaherty,2023,34.67,42,12,7,26,7
656427,Jack Flaherty,2023,109.67,106,54,10,54,20
656557,Tanner Houck,2023,106.0,99,41,14,59,21
656578,Andre Jackson,2023,61.33,57,22,11,34,7
656578,Andre Jackson,2023,17.67,16,3,5,13,0
656578,Andre Jackson,2023,43.67,41,19,6,21,7
656605,Mitch Keller,2023,194.33,210,55,25,91,32
656629,Michael Kopech,2023,129.33,134,91,29,78,27
656730,Trevor Megill,2023,34.67,52,12,2,14,2
656731,Tylor Megill,2023,126.33,105,58,18,66,25
656756,Jordan Montgomery,2023,188.67,166,48,18,67,32
656756,Jordan Montgomery,2023,121.0,108,35,12,46,21
656756,Jordan Montgomery,2023,67.67,58,13,6,21,11
656794,Sean Newcomb,2023,15.0,17,9,1,5,2
656818,Connor Overton,2023,11.0,9,7,3,14,3
656849,David Peterson,2023,111.0,128,50,16,62,21
656876,Drew Rasmussen,2023,44.67,47,11,2,13,8
656970,Devin Smeltzer,2023,22.33,16,4,7,16,1
657006,Justin Steele,2023,173.33,176,36,14,59,30
657031,Josh Taylor,2023,17.67,26,9,4,16,1
657053,Touki Toussaint,2023,87.0,85,57,10,48,16
657053,Touki Toussaint,2023,3.67,2,5,0,2,1
657053,Touki Toussaint,2023,83.33,83,52,10,46,15
657093,Spenser Watkins,2023,4.33,4,2,2,5,1
657140,Kyle Wright,2023,31.0,34,17,5,24,7
