date,id,home,away,hs,as,ot,hsog,asog,hpp,app
2024-11-03,2024020189,Minnesota Wild,Toronto Maple Leafs,2,1,1,33.0,28.0,,
2024-11-03,2024020190,Calgary Flames,Edmonton Oilers,2,4,0,,31.0,,
2024-11-03,2024020191,Anaheim Ducks,Chicago Blackhawks,2,4,0,40.0,,,
2024-11-04,2024020192,Nashville Predators,Los Angeles Kings,0,3,0,,,,
2024-11-04,2024020193,Edmonton Oilers,New Jersey Devils,0,3,0,31.0,16.0,,
2024-11-05,2024020194,Buffalo Sabres,Ottawa Senators,5,1,0,34.0,,,
2024-11-05,2024020195,Toronto Maple Leafs,Boston Bruins,4,0,0,27.0,,,
2024-11-05,2024020196,Montréal Canadiens,Calgary Flames,2,3,1,24.0,35.0,,
2024-11-05,2024020197,Carolina Hurricanes,Philadelphia Flyers,6,4,0,,16.0,,
2024-11-05,2024020198,New York Islanders,Pittsburgh Penguins,4,3,1,,,,
2024-11-05,2024020199,St. Louis Blues,Tampa Bay Lightning,3,2,0,23.0,23.0,,
2024-11-05,2024020200,Minnesota Wild,Los Angeles Kings,1,5,0,24.0,28.0,,
2024-11-05,2024020201,Winnipeg Jets,Utah Hockey Club,3,0,0,,21.0,,
2024-11-05,2024020202,Colorado Avalanche,Seattle Kraken,6,3,0,,20.0,,
2024-11-05,2024020203,Anaheim Ducks,Vancouver Canucks,1,5,0,,37.0,,
2024-11-05,2024020204,San Jose Sharks,Columbus Blue Jackets,2,1,1,27.0,50.0,,
2024-11-06,2024020205,Washington Capitals,Nashville Predators,3,2,0,,35.0,,
2024-11-06,2024020206,Chicago Blackhawks,Detroit Red Wings,1,4,0,29.0,,,
2024-11-06,2024020207,Edmonton Oilers,Vegas Golden Knights,2,4,0,29.0,35.0,,
2024-11-07,2024020208,Boston Bruins,Calgary Flames,4,3,1,38.0,37.0,,
2024-11-07,2024020209,Ottawa Senators,New York Islanders,2,4,0,30.0,25.0,,
2024-11-07,2024020210,Tampa Bay Lightning,Philadelphia Flyers,1,2,1,,,,
2024-11-07,2024020211,Florida Panthers,Nashville Predators,6,2,0,34.0,,,
2024-11-07,2024020212,New Jersey Devils,Montréal Canadiens,5,3,0,27.0,24.0,,
2024-11-07,2024020213,New York Rangers,Buffalo Sabres,1,6,0,,22.0,,
2024-11-07,2024020214,Carolina Hurricanes,Pittsburgh Penguins,5,1,0,18.0,36.0,,
2024-11-07,2024020215,St. Louis Blues,Utah Hockey Club,2,4,0,15.0,,,
2024-11-07,2024020216,Dallas Stars,Chicago Blackhawks,3,1,0,40.0,26.0,,
2024-11-07,2024020217,Winnipeg Jets,Colorado Avalanche,1,0,0,,35.0,,
2024-11-07,2024020218,Los Angeles Kings,Vancouver Canucks,2,4,0,,23.0,,
2024-11-07,2024020219,San Jose Sharks,Minnesota Wild,2,5,0,26.0,31.0,,
2024-11-08,2024020220,Toronto Maple Leafs,Detroit Red Wings,3,1,0,20.0,22.0,,
2024-11-08,2024020221,Washington Capitals,Pittsburgh Penguins,2,4,0,34.0,32.0,,
2024-11-08,2024020222,Anaheim Ducks,Minnesota Wild,2,5,0,35.0,31.0,,
2024-11-08,2024020223,Seattle Kraken,Vegas Golden Knights,4,3,1,32.0,,,
2024-11-09,2024020224,Buffalo Sabres,Calgary Flames,3,2,1,19.0,26.0,,
2024-11-09,2024020225,Florida Panthers,Philadelphia Flyers,4,3,1,31.0,37.0,,
2024-11-09,2024020226,Boston Bruins,Ottawa Senators,2,3,1,16.0,34.0,,
2024-11-09,2024020227,Toronto Maple Leafs,Montréal Canadiens,4,1,0,27.0,21.0,,
2024-11-09,2024020228,Detroit Red Wings,New York Rangers,0,4,0,,,,
2024-11-09,2024020229,St. Louis Blues,Washington Capitals,1,8,0,,27.0,,
2024-11-09,2024020230,Winnipeg Jets,Dallas Stars,4,1,0,25.0,,,
2024-11-09,2024020231,New York Islanders,New Jersey Devils,3,4,1,22.0,,,
2024-11-09,2024020232,Nashville Predators,Utah Hockey Club,4,0,0,21.0,,,
2024-11-09,2024020233,Colorado Avalanche,Carolina Hurricanes,6,4,0,29.0,31.0,,
2024-11-09,2024020234,Los Angeles Kings,Columbus Blue Jackets,5,2,0,23.0,26.0,,
2024-11-09,2024020235,Vancouver Canucks,Edmonton Oilers,3,7,0,20.0,31.0,,
2024-11-10,2024020236,New Jersey Devils,San Jose Sharks,0,1,0,44.0,27.0,,
